,lat,lon,depth,mag,remark,klasifikasi
29344,3.83,94.56,35,4.7,28,gempa ringan
29345,1.4,99.33,10,3.5,27,gempa minor
29346,3.01,128.57,155,4.4,25,gempa ringan
29347,-7.69,115.48,293,3.7,3,gempa minor
29348,-1.2,120.25,14,2.7,40,gempa micro
29349,-9.48,117.57,21,2.9,43,gempa micro
29350,-6.1,103.74,15,3.0,39,gempa minor
29351,-9.48,114.26,10,3.5,34,gempa minor
29352,0.54,122.39,63,1.8,18,gempa micro
29353,3.73,128.71,10,4.4,25,gempa ringan
29354,3.94,128.82,10,4.8,25,gempa ringan
29355,3.74,128.52,32,5.5,25,gempa sedang
29356,3.74,128.52,32,5.5,25,gempa sedang
29357,3.73,128.65,66,5.1,25,gempa sedang
29358,3.73,128.65,66,5.1,25,gempa sedang
29359,-6.02,103.78,10,4.1,39,gempa ringan
29360,-7.27,120.37,533,4.2,11,gempa ringan
29361,-8.96,110.0,10,4.0,15,gempa ringan
29362,-2.44,139.64,74,4.0,21,gempa ringan
29363,2.79,127.6,76,5.0,26,gempa sedang
29364,2.79,127.6,76,5.0,26,gempa sedang
29365,-0.08,123.19,127,4.4,18,gempa ringan
29366,-7.94,115.32,13,3.4,3,gempa minor
29367,3.67,128.66,10,4.5,25,gempa ringan
29368,-8.95,108.73,57,5.3,15,gempa sedang
29369,-8.95,108.73,57,5.3,15,gempa sedang
29370,-7.97,123.2,233,4.7,4,gempa ringan
29371,2.32,126.8,13,4.0,26,gempa ringan
29372,4.69,127.58,30,4.5,45,gempa ringan
29373,-2.27,120.54,10,3.4,40,gempa minor
29374,1.67,127.01,16,3.7,12,gempa minor
29375,1.87,98.93,108,4.2,27,gempa ringan
29376,-6.11,105.4,10,3.1,44,gempa minor
29377,-2.77,129.97,12,3.8,31,gempa minor
29378,-6.73,130.63,87,4.9,4,semoga bisa
29379,-0.17,100.31,10,2.9,38,gempa micro
29380,-7.4,107.04,12,3.2,15,gempa minor
29381,-7.8,128.24,164,4.7,4,gempa ringan
29382,3.03,128.1,122,4.2,25,gempa ringan
29383,-8.17,106.88,14,4.5,35,gempa ringan
29384,0.23,122.33,138,2.4,18,gempa micro
29385,-0.22,122.76,10,3.4,18,gempa minor
29386,-0.98,126.78,72,3.6,37,gempa minor
29387,1.55,126.97,123,4.2,26,gempa ringan
29388,3.83,128.75,10,4.6,25,gempa ringan
29389,3.62,128.89,18,4.7,25,gempa ringan
29390,-3.32,139.22,78,4.5,13,gempa ringan
29391,-3.55,139.41,87,4.7,13,gempa ringan
29392,-8.26,106.87,46,4.0,35,gempa ringan
29393,-8.22,106.84,57,4.8,35,gempa ringan
29394,-8.22,106.84,57,4.8,35,gempa ringan
29395,-6.0,104.27,28,3.3,38,gempa minor
29396,0.4,122.29,43,2.5,18,gempa micro
29397,1.66,125.22,21,3.7,26,gempa minor
29398,-0.16,122.78,18,3.0,18,gempa minor
29399,-0.56,120.97,10,2.9,18,gempa micro
29400,-8.73,110.61,35,3.3,15,gempa minor
29401,-6.46,130.09,143,5.2,4,gempa sedang
29402,-6.46,130.09,143,5.2,4,gempa sedang
29403,0.88,126.46,13,4.1,26,gempa ringan
29404,-8.18,108.28,31,4.3,15,gempa ringan
29405,-8.18,108.28,31,4.3,15,gempa ringan
29406,-0.65,127.86,10,3.8,12,gempa minor
29407,-0.88,131.15,10,2.9,14,gempa micro
29408,5.23,96.24,10,3.6,27,gempa minor
29409,-8.5,108.89,11,3.9,15,semoga bisa
29410,-10.7,119.25,53,4.7,42,gempa ringan
29411,-6.6,121.76,91,3.7,11,gempa minor
29412,-5.09,102.23,10,3.9,38,semoga bisa
29413,1.69,99.27,10,3.8,27,gempa minor
29414,3.55,122.68,557,4.6,7,gempa ringan
29415,3.82,128.64,49,4.6,25,gempa ringan
29416,2.52,95.91,28,3.7,28,gempa minor
29417,3.08,127.88,104,4.7,45,gempa ringan
29418,-9.11,125.59,10,3.5,47,gempa minor
29419,-9.0,125.65,10,4.0,47,gempa ringan
29420,-2.54,139.51,10,4.2,21,gempa ringan
29421,-7.01,113.6,14,3.4,15,gempa minor
29422,0.46,123.68,232,3.8,18,gempa minor
29423,-1.1,126.93,10,4.1,37,gempa ringan
29424,-8.87,113.95,18,2.7,15,gempa micro
29425,-0.08,123.59,118,4.3,18,gempa ringan
29426,1.42,98.02,49,4.7,27,gempa ringan
29427,1.42,98.02,49,4.7,27,gempa ringan
29428,3.72,128.54,10,4.6,25,gempa ringan
29429,1.39,98.1,61,5.1,27,gempa sedang
29430,1.39,98.1,61,5.1,27,gempa sedang
29431,-8.71,111.89,30,3.4,15,gempa minor
29432,-7.7,107.29,36,2.7,15,gempa micro
29433,-2.88,101.44,77,4.9,38,semoga bisa
