nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2019-12-23 03:50:00",180,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2019-12-31 23:40:00",480,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2019-12-31 23:40:00",1720,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2019-12-31 23:40:00",6320,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2019-12-31 23:00:27",500,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2019-12-31 23:40:00",160,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2019-12-31 23:40:00",3290,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2019-12-31 23:40:00",1560,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2019-12-31 23:40:00",1460,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2019-12-31 23:40:00",-2000,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2019-12-31 23:40:00",1480,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2019-12-31 23:00:27",900,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2019-12-31 23:40:00",680,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2019-12-31 16:50:00",3440,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2019-12-31 23:30:00",0,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2019-12-31 19:46:58",1000,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2019-12-31 23:40:00",1950,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2019-12-31 23:40:00",1850,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2019-12-31 23:40:00",1600,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2019-12-31 23:40:00",1700,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2019-12-31 12:20:00",1710,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2019-12-23 03:50:00",180,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-01-01 00:10:00",470,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-01-01 00:10:00",1670,"Status : Normal"
