auction_type,nama_barang_lelang,spesifikasi_barang,keterangan,nilai limit,harga_lelang_invoice,TTD,nomor_invoice,harga_sewa_kpr,tagihan_kartu_kredit,belanja_makanan,transportasi,cicilan,gaji_bulanan,bonus,pengurangan_gaji,pendapatan_tambahan,tanggungan_1,tanggungan_2,tanggungan_3,tanggungan_4,tanggungan_5,laporan_rekan_kerja,fraud
Properti,Tanah,2229 m2 perkotaan Surabaya,,37572904455.0,111742274402.25185,True,5312.0,997878,0,1075711,882399,0,19569381,4857394,1043597.7968300098,0,0,3302000,2004417,0,1174580,5,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 500 gram,,37572904455.0,112218526437.96947,True,1354.0,763667,0,974869,449849,5528717,15861608,0,988851.2764796956,15082285,226809,0,0,0,2250905,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor gede,Honda CB 150R Streetfire,Bekas,22487733.769883282,66393698.5184488,True,2562.0,507323,5422934,1163807,396894,0,9104468,0,893633.9466515613,0,554474,4332961,0,2417530,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Samsung Galaxy S23 Ultra,Bekas,21545002.30326103,52939153.873914376,True,9596.0,931978,4579402,1202251,587316,7755072,23692198,0,2311565.266458706,4737796,0,0,0,0,0,1,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 1000 gram,,21545002.30326103,38091245.684114754,True,6408.0,1289505,0,828744,1059614,0,24785649,0,1412349.6424883776,18097988,1892209,0,0,4621622,3002445,2,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Huawei P50 Pro,Baru,15534650.597166589,32845240.13634382,True,7022.0,448050,0,1344267,461499,0,19813776,2737817,1767403.8913089903,15430214,0,545570,4672715,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,3697 m2 perkotaan Yogyakarta,,19313046666.0,31194948641.793022,True,6150.0,1984565,0,942528,1488599,6049346,15926118,0,1387033.6828728577,480784,1334456,234096,3740039,4640425,0,1,Data tidak mencurigakan dan Karyawan sangat berpotensi melakukan kecurangan
Kendaraan,mobil penumpang,Daihatsu Xenia,Baru,249502151.18969974,471060881.75368047,False,9094.0,1175704,6953095,1197110,1049242,0,20323790,3418599,1703367.799644524,7867398,0,2231979,2360904,3029455,208837,2,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,Tanah,1994 m2 pinggiran kota Bekasi,,25763835920.0,21600730254.563156,True,9232.0,760695,4636776,979077,361218,0,27555059,0,1970440.304379826,0,556153,0,1344357,0,0,6,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 100 gram,,25763835920.0,76569034367.10214,True,3927.0,280266,8303283,936233,847968,6699314,9750298,0,826139.7133852168,8794273,4171703,1993362,0,0,788775,3,Data tidak mencurigakan dan Karyawan sangat berpotensi melakukan kecurangan
Kendaraan,motor gede,Kawasaki Ninja 250,Bekas,38463446.25851321,35386843.86145271,True,1014.0,511749,0,1496080,1057031,0,18551233,0,1073595.0016659952,0,0,574907,0,0,0,4,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor sport,Yamaha R15,Baru,42695675.195230685,75960554.5371411,True,,1004073,0,1063668,983470,5895935,12978259,0,893314.3871907431,0,118326,3542101,0,0,4245503,1,Data tidak mencurigakan dan Karyawan sangat berpotensi melakukan kecurangan
Kendaraan,motor trail,Suzuki DR-150S,Bekas,26701476.591163717,71933899.21560057,True,8136.0,579776,6193164,1274226,1056781,7123437,20056831,4887035,1976508.0543067888,0,2470965,4754407,668842,2365762,197458,1,Data tidak mencurigakan dan Karyawan sangat berpotensi melakukan kecurangan
Properti,rumah,Rumah 193 m2 Surabaya Utara,Baru,774993781.0,925116745.6231058,True,5185.0,1700413,4357726,934505,1476248,5456368,6082286,4523544,544590.3561095789,3173996,2283942,3224458,0,0,3278802,6,Data tidak mencurigakan dan Karyawan sangat berpotensi melakukan kecurangan
Kendaraan,mobil mewah,Porsche 911,Bekas,4312394973.302416,3078753705.112192,True,2867.0,1162846,5666237,1241969,415766,5957343,23451636,0,2239468.504054811,0,0,0,741773,494132,2876633,5,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,rumah,Rumah 209 m2 Makassar,Bekas,984622631.0,825950039.0848014,True,,1969818,0,1332942,721693,0,10729064,3373387,1037003.1088043483,0,0,0,1516732,28570,0,1,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,rumah,Rumah 187 m2 Bekasi,Bekas,1741459586.0,3300338554.6139517,True,9955.0,958807,8628211,1096398,1308490,9979188,22407894,0,2194808.61339205,0,0,0,512506,0,0,2,Data tidak mencurigakan dan Karyawan sangat berpotensi melakukan kecurangan
Properti,rumah,Apartemen 132 m2 Palembang,Baru,567235248.0,495575258.3447813,False,6679.0,1968038,0,799394,925350,9427002,11876229,0,864515.7797145192,0,0,0,1026888,0,1844372,3,Data mencurigakan dan Karyawan sangat berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Huawei P50 Pro,Bekas,16296155.887904966,10816461.660654128,True,1553.0,1184775,3607239,1344389,1402778,0,30475522,0,2294050.260459291,0,0,0,0,0,0,6,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Televisi,Samsung QLED QN90B,Bekas,8115888.7883578325,24277874.753253903,True,4089.0,368738,0,952084,1128241,0,7138931,3856014,496253.57219423715,0,2923901,1806764,4109573,0,0,6,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,rumah,Rumah 98 m2 Yogyakarta,Bekas,406803690.0,683830291.7066576,True,9934.0,1404148,0,1497927,1054947,0,9866118,0,657716.0256857657,0,0,4141309,0,922706,0,1,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,mobil mewah,BMW Seri 3,Bekas,1854665633.7711935,3842490209.2960196,True,8273.0,330399,537813,1039048,1428076,0,31799766,3729425,1651596.3765352552,11043255,2202279,3781037,4564410,3190527,3014371,4,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,cincin,Cincin perak sterling dengan batu permata opal,,1099054.4377222755,1227889.8225468756,True,5989.0,1941364,4327392,1333341,1123932,4854557,20641389,0,1973311.8524817615,0,0,0,0,254516,826425,3,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 50 gram,,1099054.4377222755,1635986.0849356696,True,3710.0,1233758,0,1024520,973739,0,28816585,0,1944069.8112468356,0,0,260948,4739612,615603,0,2,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor gede,Kawasaki Ninja 250,Bekas,40179860.656948835,110142155.5214323,True,,890975,0,961290,1287830,0,27035233,0,1644855.1119144282,0,0,4608110,0,0,2025675,2,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Realme GT 2 Pro,Bekas,9201854.330546468,23400357.571973607,True,,1519682,0,1484614,586228,0,18975811,0,1868960.7212020804,0,182056,1025290,3372202,1602116,0,3,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,rumah,Rumah 263 m2 Medan Barat,Bekas,1280103505.0,2278466986.6896906,True,4837.0,960968,3025694,906965,765700,0,18164578,4793484,1734373.7601299463,10007945,4828140,542801,0,3504568,3083257,4,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,Tanah,1176 m2 pinggiran kota Depok,,12528418392.0,34624755214.44621,True,5738.0,949964,5028466,859862,608250,0,25372977,0,1316420.7605049077,5925863,0,0,2809547,0,1373892,1,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor gede,Yamaha Vixion,Bekas,18234842.271376856,41885336.68732941,True,,224451,2676246,910935,1142046,0,33339889,2107566,1819137.0640398196,17773147,0,536472,4409586,518195,0,3,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,anting-anting,Anting-anting emas kuning 22K,,6276964.221993474,14444568.880278997,True,9779.0,1364680,0,1113169,1328842,0,17179940,2591541,1318430.3285683722,0,0,3967371,0,397970,2516564,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 1000 gram,,6276964.221993474,10819040.349883748,True,2970.0,1531869,699144,1093434,639151,0,5620629,0,298079.2434359453,0,3713859,0,0,0,1946701,3,Data tidak mencurigakan dan Karyawan sangat berpotensi melakukan kecurangan
Kendaraan,motor bebek,Yamaha Jupiter MX,Bekas,11003405.26161077,13877040.085716585,True,8000.0,330460,2526692,1106868,575903,0,30635277,4444874,1600637.2500854302,3735777,3986249,0,3331748,0,0,2,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,motor trail,Yamaha WR 155 R,Baru,38060000.0,59616057.21447149,True,,1650557,951114,1172583,412528,3248473,22446816,0,1716819.1523177554,0,0,1117706,546054,3693856,0,5,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Telepon genggam,OPPO Find X5 Pro,Baru,19200059.81125939,29045812.206305556,True,6324.0,1806522,3160435,844975,529896,0,10281857,2853737,701744.180987892,0,0,0,3065144,1730848,1197725,4,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,anting-anting,"Anting-anting berlian 0,5 karat with emas kuning 22K",,13410271.385842292,33326379.50917212,True,8192.0,522194,0,873705,911414,8543779,30523348,3432679,2090165.049519422,8161100,0,0,4558569,0,1735802,6,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,anting-anting,Anting-anting mutiara 1 karat with emas putih 18K,,22762340.32734874,57965645.87635676,True,8350.0,231260,4294899,1013602,718496,8081078,30867764,0,2284595.8287522285,12879267,0,3365294,0,0,0,6,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,Tanah,2144 m2 perkotaan DKI Jakarta,,61288467616.0,119362057188.77936,True,4393.0,930461,5109307,1224836,612209,5995799,31961644,2229815,2308285.2789586927,11409487,3065494,3998701,2369620,563978,1695955,1,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,anting-anting,Anting-anting mutiara 1 karat with emas putih 18K,,29928247.078763068,79451818.35050069,True,3651.0,266192,0,1204323,1345249,0,16325420,2950053,1489288.6568777438,8019410,831752,0,3165375,0,4739804,6,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 50 gram,,29928247.078763068,45860929.97326104,True,8681.0,813125,6589030,963700,392349,0,26603578,4045489,2494387.6734276395,0,3083465,1392649,3371583,2212559,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,HP Spectre x360 14,Bekas,13199905.916891966,15920377.128626954,True,2517.0,204064,8419686,793090,610569,4582295,34083934,0,3221088.2029610523,0,4020251,0,4802384,4733716,0,3,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Huawei P50 Pro,Baru,17669618.699649327,50214107.4635897,True,5456.0,1287779,9437662,860113,595569,7558364,34452554,1956976,2801916.9900074024,17849928,668102,1715608,0,0,0,1,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,emas murni,Emas murni 24 karat 2 gram,,17669618.699649327,40812257.74212586,True,5403.0,1435633,7210880,1433780,1146421,0,33380567,4332421,3011630.329419114,0,0,0,0,4566821,2619237,3,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
