collateral_auction_type,collateral_name,collateral_specification,collateral_info,collateral_market_price,invoice_auction_price,invoice_ttd,invoice_num,mrent_price,cc_bill,food_cost,trans_cost,employee_installment_loan,monthly_income,Bonus_income,salary_reduction,add_income,dependents_1,dependents_2,dependents_3,dependents_4,dependents_5,coworker_report,fraud
Perhiasan,gelang,Gelang perak sterling dengan liontin mutiara dan berlian,,794441.8067119343,1577396.6355208717,True,9786.0,1570035,0,1046470,533134,8012808,11434695,2377311,899776.9821995893,499517,3883254,0,1076058,0,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,rumah,Apartemen 112 m2 Depok Barat,Baru,864819356.0,2073764068.2308395,True,6820.0,1490578,5362057,1363481,1294752,0,17060518,0,896209.0797571908,0,1537315,0,0,1081785,3374780,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor bebek,Honda Supra X 125,Bekas,11769304.47511371,14220748.090690734,True,9784.0,987755,0,913233,1268291,0,27961245,0,2722518.7057976727,16125205,0,0,0,0,340789,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,Sony A95K,Bekas,15024805.334835328,30749787.34417271,True,4082.0,274825,8968385,1094432,777534,0,29358827,0,2925842.903344911,0,0,3023042,0,0,1307410,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,anting-anting,Anting-anting mutiara 1 karat with emas putih 18K,,26296092.015083246,38625766.4944894,True,,445461,8292311,1255704,590802,0,5554275,1980183,521607.57089673425,0,4714713,0,0,3042007,0,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,Tanah,4122 m2 pinggiran kota Surabaya Selatan,,46318233870.0,63060961888.64791,True,3435.0,1097042,1522983,1082192,1048998,9221138,25970849,0,2390018.1143157994,2355007,3620881,1610060,3089236,621763,21476,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,HP Spectre x360 14,Bekas,15853834.521804875,22402648.917337127,True,1458.0,1949884,0,1056921,452761,0,22378103,2902215,1134096.2758595205,0,0,2684402,2966723,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,mobil mewah,Mercedes-Benz C-Class,Baru,1727569290.223843,1786047809.1328778,True,6795.0,1510618,7523079,952132,910422,2587052,13330447,3174671,795301.3992075734,18827636,3201250,0,1517002,1387859,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,kalung,Kalung emas kuning 22 karat dengan liontin berbentuk hati,,5357157.94251345,3835297.592952827,True,5330.0,821211,0,1362427,450857,0,26776660,3042933,2654345.483474375,1798298,1517944,0,0,0,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,2923 m2 pinggiran kota Medan Barat,,24505701250.0,64761165665.970085,True,3670.0,362037,6827377,1202385,717376,8816060,7869165,4285082,610830.9202727678,13609082,1039999,0,0,2767026,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Realme GT 2 Pro,Bekas,9929039.040910665,24849601.058337655,True,9698.0,986067,0,797892,1097704,4726257,14301982,3088069,925268.1537752926,0,0,783975,4486405,2329492,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,LG OLED C2,Baru,20535626.353845917,23270114.70422495,True,4764.0,1316014,6634200,1238526,503950,0,6343583,0,468349.8832632301,14036422,1633239,4865980,2004861,0,1382574,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor gede,Suzuki GSX-R 150,Baru,33667077.14856663,99641435.3824361,True,1338.0,1708962,0,795452,568827,2593794,25062697,1268869,2088655.789074018,18393650,0,0,3189665,446032,4449786,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,2080 m2 pedesaan Kulon Progo,,6290464960.0,15207473135.355185,True,9312.0,310571,1778188,1055857,436940,7174908,11582486,4121078,918964.3592706176,7163217,1192069,109229,0,3748598,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,anting-anting,"Anting-anting berlian 0,5 karat with emas kuning 22K",,14071394.31866662,11401348.377707144,False,2902.0,418416,655213,965759,1058841,0,34092122,0,1965513.8845511354,0,4012944,3391859,4100104,4709229,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Televisi,Samsung QLED QN90B,Bekas,9418709.36114158,10229298.298858322,True,5456.0,1670402,0,1282936,1009078,8272978,30335351,4474095,1702191.539499501,0,0,0,4636044,0,1160669,2,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,mobil mewah,Lexus ES,Bekas,1068746291.4305274,2497021016.6027994,True,1357.0,268631,5339214,1312763,1171061,0,24248229,0,1405986.5769570093,1772743,3019079,2874675,2497283,0,2029755,5,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,Televisi,Samsung QLED QN90B,Baru,15380616.860244172,14363405.83535415,True,,1965649,8960742,1040611,1339188,5861909,13989208,0,1024733.7891553178,0,930515,0,0,0,0,0,Data mencurigakan dan Karyawan berpotensi melakukan kecurangan
Properti,Tanah,4659 m2 pinggiran kota Medan Barat,,40893878646.0,99546289968.77176,True,1436.0,277338,0,1066279,1015304,0,8761685,4168646,872370.5185264937,7487910,4204996,694006,2419348,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,anting-anting,Anting-anting emas kuning 22K,,5076871.525736222,7351425.032952817,True,5518.0,831081,1502957,1008245,635316,0,7761870,4172187,720970.6389386115,18361143,0,3036458,2220511,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,3891 m2 pedesaan Depok Timur,,16572909063.0,35972169931.14759,True,,225874,8489038,922267,1289435,4155685,9225290,1151727,788613.4716943366,12722334,4252550,1259729,388980,0,0,2,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Kendaraan,mobil penumpang,Daihatsu Terios,Bekas,314703262.16855794,601155438.6231747,True,1683.0,1628401,0,1080477,1081893,0,8301362,3753239,812193.4172831826,0,833171,2843794,0,900343,2569792,3,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Elektronik,laptop,Dell XPS 13 9320,Baru,16850088.11639706,38968438.77239117,True,7214.0,691626,3586570,1472158,733020,0,10263931,1513476,686108.4405876407,16539725,1197793,584001,0,1006808,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Apartemen 184 m2 Surabaya Utara,Bekas,1654069181.0,3331189780.7552743,True,4545.0,1647701,0,1416440,1298158,2794646,12008096,0,931195.3358840854,0,0,1794311,2313689,0,2643697,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,anting-anting,Anting-anting emas kuning 22K,,5749385.944485755,11845375.689289989,True,6483.0,1256826,0,1138821,955813,0,13404432,0,1181546.1841191852,13198274,2836736,2004359,0,4944200,350926,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
