collateral_auction_type,collateral_name,collateral_specification,collateral_info,collateral_market_place,invoice_auction_price,invoice_ttd,invoice_num,mrent_price,cc_bill,food_cost,trans_cost,employee_installment_loan,monthly_income,Bonus_income,salary_reduction,add_income,dependents_1,dependents_2,dependents_3,dependents_4,dependents_5,coworker_report,fraud
Perhiasan,gelang,Gelang emas kuning 22K with liontin berbentuk hati dan berlian,,10549552.031383017,8906485.335342176,True,8296.0,1209602,0,1498386,1197689,8557547,29847238,1796472,2753380.7784454734,9071762,0,0,3852166,0,1963272,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,anting-anting,"Anting-anting berlian 0,5 karat with emas kuning 22K",,10693318.50159197,17244593.308756888,True,1689.0,747935,3370400,1299447,772213,0,23381975,4403477,2178930.69026131,0,686741,760642,808787,1426384,4893843,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,mobil penumpang,Mazda CX-5,Bekas,351166672.1848808,950659566.7455994,True,3745.0,851686,3624787,801972,728054,0,13595885,2041778,700538.4211022378,11464944,821559,2554985,4908435,3899155,1618947,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,Huawei P50 Pro,Bekas,15009971.855663812,24794624.217752747,True,7160.0,328517,0,943522,602242,6778042,15629422,0,907002.2973630434,10816670,0,3629295,0,1529678,422964,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,4637 m2 pinggiran kota Surabaya Utara,,44674782355.0,100553343205.26234,True,3173.0,1524623,0,1054657,625281,0,9725687,1902099,955141.5662510968,0,2742100,0,0,3972826,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Rumah 204 m2 Bantul,Baru,301228266.0,878756695.8989524,True,4074.0,804090,3287669,956072,775379,6066628,27384688,1274480,2298076.541520359,7523747,1072628,0,0,0,4943703,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor bebek,Yamaha Jupiter MX,Baru,24005823.58145065,17488170.42371443,True,3663.0,365097,5368994,924661,387702,3286373,32016763,2669126,2858072.7526271725,0,2987486,2491283,349372,0,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,Dell XPS 13 9320,Baru,17214365.217869565,42137689.4686906,True,5582.0,1036469,8289305,760734,978272,0,13097244,4761160,1066214.1453790877,12596313,0,0,4739523,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,mobil penumpang,Mitsubishi Xpander,Bekas,145097358.0090333,234663786.81553233,False,4313.0,900976,0,1042038,487305,0,27065327,0,1896155.1170130167,13364623,0,0,0,477467,4912346,2,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
Perhiasan,anting-anting,"Anting-anting berlian 0,5 karat with emas kuning 22K",,14672057.336614419,29355455.219309412,True,6794.0,224428,0,1040478,1399216,0,27595661,0,2301949.752323554,0,0,4540290,0,13805,1379181,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,cincin,Cincin kawin emas putih 14 karat dengan desain jalinan,,5560871.483767338,10536630.399239792,True,3369.0,1285767,0,1107238,964534,5498797,20107256,3111972,1021017.8170620777,0,3165330,1360121,228081,4383416,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,Lenovo ThinkPad X1 Carbon Gen 10,Bekas,17380680.884034712,36361344.42846024,True,2667.0,1926874,1247480,1431128,1108298,0,32401337,3790803,1626982.3062037402,0,0,0,2945642,4227944,3587606,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Perhiasan,kalung,Kalung mutiara multi dengan emas putih 18 karat,,10438829.351215642,23095257.79188164,True,1886.0,735676,0,1374029,672736,0,31974880,1318004,1830110.6133966914,0,2790608,2728614,495541,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,Telepon genggam,OPPO Find X5 Pro,Baru,17342802.823894937,35099807.3441297,True,3221.0,619227,2193557,795279,821419,0,27667142,2318182,2325587.776625922,0,0,206276,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,Asus ZenBook 14X OLED,Baru,16416075.628863163,12397563.257596226,True,6775.0,1112615,0,844467,1472886,4270785,31695528,2946673,3040614.7743424135,19959202,4097513,0,175511,1829059,2731527,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,mobil mewah,Mercedes-Benz C-Class,Baru,1996869245.970446,3790352684.0710125,True,4438.0,270552,0,792523,1033794,4663801,16166913,2231896,1373745.8060482629,4459307,0,1297405,0,2396726,2722451,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor sport,Honda CBR 150R,Baru,41016673.1321062,73254398.15484926,True,9670.0,467932,1479158,1012944,1235853,3325964,23318062,0,1410247.343575608,363753,0,1737894,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Elektronik,laptop,MacBook Air M2,Bekas,18694538.868626483,44434277.28585427,True,8852.0,461971,5618895,1435925,1067577,3891257,14483736,3690883,1062882.870769667,0,0,0,0,0,749510,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor sport,Kawasaki Ninja 250,Bekas,35510644.430083185,29226884.54983504,True,3095.0,1443051,3124246,1440131,529507,0,34838809,4205488,2415275.0823301165,16773261,1285838,3235111,0,188360,60779,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Kendaraan,motor sport,Suzuki GSX-R 150,Bekas,30802415.824233152,54613325.597982585,True,2106.0,1945664,6034891,1243715,946202,6855645,25236995,4026269,1853403.1311828021,0,0,0,0,0,0,0,Data tidak mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,rumah,Rumah 77 m2 Gresik,Baru,1454576123.0,973249721.1559026,False,3719.0,266114,0,944402,684426,0,26210906,2339617,2359239.058574685,0,0,1429411,0,0,0,0,Data mencurigakanKaryawan tidak berpotensi melakukan kecurangan
Properti,Tanah,2214 m2 perkotaan DKI Jakarta,,54537749820.0,130614584417.29608,True,4274.0,1021289,8486772,1411588,548346,0,9026839,1193100,582633.4507224491,0,3383746,2789678,3638798,3383827,2267015,0,Data tidak mencurigakan dan Karyawan berpotensi melakukan kecurangan
