company_ID,company_name,company_pic,company_address,company_email,company_field,company_Phone,company_size,training_price,group,training_location,training_date,training_topic,training_field,training_type,order_history,improved_abilities,increasement_points,training_materials_quality,trainer_satisfaction_level,dining_facilities,residential_facilities,satisfaction_level,management_seller_closeness,continuity,likelihood_of_recommendation
1,PD Lailasari,"Cut Rahmi Nasyiah, S.H.","Jl. Tubagus Ismail No. 6
Pariaman, Gorontalo 50343",fathonahmaheswara@example.net,"Pertanian, Kehutanan, dan Perikanan",+62 (0111) 617-7036,Menengah,700000,Retail,"Unit 8129 Box 3462
DPO AA 74664",2023-12-20,Teknik Analisa Big Data untuk Memaksimalkan Marketing,Sales & Marketing,Online Training,4,67,82,6,9,4,2,5.25,3,no,68.78571428571429
2,PT Hutasoit Dabukke,Sadina Wastuti,"Gang Pelajar Pejuang No. 712
Padang, AC 04319",uwaishardana@example.net,"Pertanian, Kehutanan, dan Perikanan",+62-068-547-3452,Menengah,200000,Group,"622 Hawkins Divide
Hartmanfurt, SC 35832",2024-01-18,Teknik Penjualan yang Efektif di Era Covid-19 & WFH,Sales & Marketing,Online Training,4,83,91,6,2,7,8,5.75,8,no,83.07142857142857
3,PT Palastri (Persero) Tbk,Legawa Tarihoran,"Gg. Pelajar Pejuang No. 27
Sukabumi, Maluku 29694",kanggriawan@example.org,Lainnya,+62 (0258) 756 4139,Kecil,1000000,Group,"Unit 0611 Box 8781
DPO AP 43153",2024-01-21,Mengelola Tim Penjualan Di Era Covid - 19 & WFH Bagi Supervisor & Manager,Sales & Marketing,Online Training,5,66,69,10,9,8,6,8.25,8,no,96.78571428571428
4,CV Nugroho Jailani,Heru Prasetya,"Jalan Kapten Muslihat No. 1
Kotamobagu, KT 42833",suryatmiraden@example.net,Kontruksi,(0277) 581 9737,Menengah,500000,Group,"95865 Ricky Island
New Reginaldshire, OR 50480",2024-01-13,Marketing Support & Sales Admin Development Program,Sales & Marketing,Online Training,7,46,80,8,2,4,3,4.25,8,no,69.78571428571429
5,UD Marbun Budiyanto,Karimah Mandala,"Jl. Asia Afrika No. 78
Yogyakarta, SN 53025",snovitasari@example.org,PendidikanAktivitas Kesehatan Manusia Dan Aktivitas Sosial,0807065565,Besar,800000,Group,"587 Young Canyon
Jameston, AS 35313",2023-12-22,Akuisisi Produk Financial Services Melalui Digital Marketing,Sales & Marketing,Online Training,9,85,91,2,9,2,6,4.75,9,no,84.78571428571429
6,PD Pertiwi Wahyudin Tbk,"H. Cecep Sihombing, S.T.","Gg. Rajawali Timur No. 02
Kota Administrasi Jakarta Barat, KS 20510",violetwinarno@example.com,PendidikanAktivitas Kesehatan Manusia Dan Aktivitas Sosial,+62 (687) 154 8412,Menengah,200000,Retail,"07164 Ryan Throughway Suite 696
Michaelview, ID 99390",2024-01-01,Memaksimalkan Digital Marketing Untuk Bisnis,Sales & Marketing,Online Training,1,52,40,7,1,3,5,4.0,8,no,54.57142857142857
7,UD Lazuardi (Persero) Tbk,dr. Indah Wulandari,"Jl. Ir. H. Djuanda No. 235
Surabaya, Sulawesi Selatan 18585",soktaviani@example.com,Informasi Dan KomunikasiAktivitas Keuangan dan Asuransi,+62 (31) 699 1551,Menengah,300000,Group,"722 Clark Club
Patrickbury, CT 75859",2024-01-25,Optimalisasi Social Media Branding Menggunakan Storytelling,Sales & Marketing,Online Training,5,32,45,4,6,8,2,5.0,7,no,63.85714285714285
8,Perum Pratiwi,Rina Pudjiastuti,"Jl. Kiaracondong No. 090
Payakumbuh, KU 15886",yonomayasari@example.com,"Administrasi Pemerintahan, Pertahanan Dan Jaminan Sosial Wajib",+62-84-197-5495,Kecil,600000,Retail,"94146 Simon Landing Apt. 079
North Michaelburgh, UT 01119",2024-01-20,Digital Marketing Untuk Bisnis B2B,Sales & Marketing,Online Training,5,65,31,8,1,9,5,5.75,9,no,74.78571428571429
9,PD Megantara Najmudin,"Dr. Langgeng Kusumo, S.Kom","Jalan Erlangga No. 159
Banjarmasin, Jawa Barat 57893",mansurprasetya@example.org,"Aktivitas Profesional, Ilmiah Dan Teknis",+62-014-627-5880,Besar,500000,Group,"4344 Logan Shore
North Paul, NH 76564",2024-01-07,Memenangkan SEO  (Search Engine Optimization) Untuk Bisnis,Sales & Marketing,Online Training,2,26,90,3,10,4,9,6.5,6,yes,75.85714285714286
10,PD Wahyuni,Harsaya Prabowo,"Gg. Soekarno Hatta No. 11
Mataram, PB 00287",argonokusumo@example.org,Aktivitas Rumah Tangga Sebagai Pemberi Kerja; Aktivitas Yang Menghasilkan Barang Dan Jasa Oleh Rumah Tangga yang Digunakan untuk Memenuhi Kebutuhan Sendiri,+62-052-607-0430,Besar,900000,Retail,"86310 Jason Vista Apt. 723
Kellerfurt, NM 38172",2023-12-30,Sales & Marketing Management,Sales & Marketing,Online Training,4,61,52,5,3,10,4,5.5,5,no,68.28571428571429
